Name,Status,District,Population Census 1991-03-01,Population Census 2001-03-01,Population Census 2011-03-01,query,lat,lon
Neyveli,Township,Cuddalore,"118,080","127,552","105,731","Neyveli, Cuddalore, Tamil Nadu, India",11.535987,79.4824392
Neyyoor,Town Panchayat,Kanniyakumari,...,"12,288","12,917","Neyyoor, Kanniyakumari, Tamil Nadu, India",8.1948319,77.2817317
Nilakkottai,Town Panchayat,Dindigul,"14,770","19,615","22,197","Nilakkottai, Dindigul, Tamil Nadu, India",10.1648333,77.85285
Nolambur,Census Town,Thiruvallur,...,...,"21,973","Nolambur, Thiruvallur, Tamil Nadu, India",13.0747182,80.1682206
Odaipatti,Town Panchayat,Theni,...,"13,183","13,892","Odaipatti, Theni, Tamil Nadu, India",9.8329178,77.4419071
Oddanchatram,Town Panchayat,Dindigul,...,"24,132","30,064","Oddanchatram, Dindigul, Tamil Nadu, India",10.4851135,77.7460054
Odugathur,Town Panchayat,Vellore,...,"8,148","8,998","Odugathur, Vellore, Tamil Nadu, India",12.7782677,78.8769331
Olagadam,Town Panchayat,Erode,...,"9,370","9,958","Olagadam, Erode, Tamil Nadu, India",11.5562066,77.6484523
Omalur,Town Panchayat,Salem,"11,884","13,291","16,279","Omalur, Salem, Tamil Nadu, India",11.7428538,78.0472667
Orikkai,Census Town,Kanchipuram,...,...,"12,638","Orikkai, Kanchipuram, Tamil Nadu, India",12.7980422,79.7141904
Othakadai,Census Town,Madurai,"8,912","12,185","15,152","Othakadai, Madurai, Tamil Nadu, India",9.9604223,78.1891222
Othakalmandapam,Town Panchayat,Coimbatore,...,"10,320","12,207","Othakalmandapam, Coimbatore, Tamil Nadu, India",10.8832086,76.9937765
O' Valley,Town Panchayat,The Nilgiris,"22,713","24,793","21,943","O' Valley, The Nilgiris, Tamil Nadu, India",11.441743,76.7151792
Pacode,Town Panchayat,Kanniyakumari,...,"22,781","24,050","Pacode, Kanniyakumari, Tamil Nadu, India",8.3232699,77.2218065
Padaiveedu,Town Panchayat,Namakkal,...,"10,066","10,451","Padaiveedu, Namakkal, Tamil Nadu, India",11.4557148,77.8237581
Padappai,Census Town,Kanchipuram,...,"8,285","14,063","Padappai, Kanchipuram, Tamil Nadu, India",12.8876927,80.0220457
Padianallur,Census Town,Thiruvallur,"18,004","20,938","23,819","Padianallur, Thiruvallur, Tamil Nadu, India",13.2032865,80.1730356
Padmanabhapuram,Municipality,Kanniyakumari,"19,269","20,075","21,342","Padmanabhapuram, Kanniyakumari, Tamil Nadu, India",8.2515242,77.3245939
Painkulam,Census Town,Kanniyakumari,...,"21,337","23,630","Painkulam, Kanniyakumari, Tamil Nadu, India",8.2693852,77.1721222
Paiyur,Census Town,Tiruvannamalai,...,"5,818","7,555","Paiyur, Tiruvannamalai, Tamil Nadu, India",12.6712822,79.3019691
Palakkodu,Town Panchayat,Dharmapuri,"15,853","18,667","20,959","Palakkodu, Dharmapuri, Tamil Nadu, India",12.2970222,78.0716779
Palamedu,Town Panchayat,Madurai,...,"8,183","10,493","Palamedu, Madurai, Tamil Nadu, India",10.1056837,78.1125354
Palangarai,Census Town,Tiruppur,...,"9,821","17,248","Palangarai, Tiruppur, Tamil Nadu, India",11.2743244,77.3325761
Palani,Municipality,Dindigul,"68,907","67,231","70,467","Palani, Dindigul, Tamil Nadu, India",10.4511094,77.5154495
Palayam,Town Panchayat,Dindigul,...,"13,300","15,336","Palayam, Dindigul, Tamil Nadu, India",10.7188161,78.1292088
Palladam,Municipality,Tiruppur,"22,406","30,016","42,225","Palladam, Tiruppur, Tamil Nadu, India",10.9708115,77.2817262
Pallapalayam,Town Panchayat,Coimbatore,...,"9,898","11,910","Pallapalayam, Coimbatore, Tamil Nadu, India",10.9995904,77.0869218
Pallapatti,Town Panchayat,Karur,...,"19,039","30,624","Pallapatti, Karur, Tamil Nadu, India",10.7222162,77.8904533
Pallapatti,Census Town,Virudhunagar,"18,991","24,326","27,925","Pallapatti, Virudhunagar, Tamil Nadu, India",9.5887219,78.3250201
Pallathur,Town Panchayat,Sivaganga,...,"7,982","9,580","Pallathur, Sivaganga, Tamil Nadu, India",10.1429786,78.7991211
Pallavaram,Municipality with Outgrowth,Kanchipuram,"111,866","144,623","233,984","Pallavaram, Kanchipuram, Tamil Nadu, India",12.7896713,79.7087851
Pallikonda,Town Panchayat,Vellore,"18,672","20,771","23,067","Pallikonda, Vellore, Tamil Nadu, India",12.9042201,78.9404409
Pallipalayam,Municipality,Namakkal,"36,657","35,635","40,140","Pallipalayam, Namakkal, Tamil Nadu, India",11.3652431,77.7482633
Pallipalayam Agraharam,Census Town,Namakkal,...,"9,997","16,479","Pallipalayam Agraharam, Namakkal, Tamil Nadu, India",11.3764,77.74831
Pallipattu,Town Panchayat,Thiruvallur,...,"8,654","8,721","Pallipattu, Thiruvallur, Tamil Nadu, India",13.3370832,79.4408239
Paloor,Census Town,Kanniyakumari,...,...,"6,818","Paloor, Kanniyakumari, Tamil Nadu, India",8.2474103,77.2281128
Panagudi,Town Panchayat,Tirunelveli,...,"25,501","29,895","Panagudi, Tirunelveli, Tamil Nadu, India",8.323179,77.5787258
Panapakkam,Town Panchayat,Vellore,...,"10,151","11,536","Panapakkam, Vellore, Tamil Nadu, India",12.92373,79.5692632
Pandamangalam,Town Panchayat,Namakkal,...,"5,952","7,259","Pandamangalam, Namakkal, Tamil Nadu, India",11.1015572,77.9656286
Pannaikadu,Town Panchayat,Dindigul,...,"9,473","8,731","Pannaikadu, Dindigul, Tamil Nadu, India",10.2817063,77.6304858
Pannaipuram,Town Panchayat,Theni,...,"8,347","9,323","Pannaipuram, Theni, Tamil Nadu, India",9.8652065,77.28418
Panruti,Municipality,Cuddalore,"51,394","55,346","60,323","Panruti, Cuddalore, Tamil Nadu, India",11.7722823,79.5518978
Papanasam,Town Panchayat,Thanjavur,"14,997","16,404","17,548","Papanasam, Thanjavur, Tamil Nadu, India",10.8604181,79.235816
Papparapatti,Town Panchayat,Dharmapuri,...,"11,276","12,174","Papparapatti, Dharmapuri, Tamil Nadu, India",12.1711013,78.042678
Pappireddipatti,Town Panchayat,Dharmapuri,...,"8,583","9,369","Pappireddipatti, Dharmapuri, Tamil Nadu, India",11.9138178,78.3671093
Paramakudi,Municipality,Ramanathapuram,"72,321","84,321","95,579","Paramakudi, Ramanathapuram, Tamil Nadu, India",9.4867151,78.6722718
Paramathi,Town Panchayat,Namakkal,...,"11,124","11,986","Paramathi, Namakkal, Tamil Nadu, India",11.1548155,78.0212943
Parangipettai,Town Panchayat,Cuddalore,"23,550","20,912","25,541","Parangipettai, Cuddalore, Tamil Nadu, India",11.4905673,79.7568983
Paravai,Town Panchayat,Madurai,"12,732","16,248","20,042","Paravai, Madurai, Tamil Nadu, India",9.9634343,78.0540237
Pasur,Town Panchayat,Erode,...,"3,870","3,670","Pasur, Erode, Tamil Nadu, India",11.2396105,77.8537988
Pattanam,Census Town,Coimbatore,...,"6,477","9,196","Pattanam, Coimbatore, Tamil Nadu, India",10.9804139,77.0551872
Pattiveeranpatti,Town Panchayat,Dindigul,...,"7,772","8,602","Pattiveeranpatti, Dindigul, Tamil Nadu, India",10.2084554,77.761042
